,genero,edad,pais,nivel de estudios,puesto de trabajo,sector,tamaño de la compañia
16463,Man,35-39,I do not wish to disclose my location,Master’s degree,Currently not employed,,
16464,Man,60-69,Japan,Bachelor’s degree,Currently not employed,,
16465,Man,25-29,India,I prefer not to answer,Data Scientist,Academics/Education,250-999 employees
16466,Man,50-54,Spain,Doctoral degree,Research Scientist,Academics/Education,"10,000 or more employees"
16467,Man,35-39,Russia,No formal education past high school,Software Engineer,Accounting/Finance,0-49 employees
16468,Man,30-34,India,Master’s degree,Business Analyst,Computers/Technology,"1000-9,999 employees"
16469,Woman,22-24,India,Master’s degree,Other,Other,"10,000 or more employees"
16470,Man,35-39,India,Master’s degree,Student,,
16471,Man,50-54,Netherlands,Master’s degree,Product Manager,Broadcasting/Communications,0-49 employees
16472,Man,25-29,Egypt,Bachelor’s degree,Data Analyst,Shipping/Transportation,0-49 employees
16473,Man,30-34,Italy,Master’s degree,Machine Learning Engineer,Manufacturing/Fabrication,0-49 employees
16474,Man,22-24,Netherlands,Master’s degree,Student,,
16475,Man,22-24,Egypt,Bachelor’s degree,Data Analyst,Academics/Education,50-249 employees
16476,Man,25-29,Peru,Bachelor’s degree,Data Analyst,Government/Public Service,"1000-9,999 employees"
16477,Man,18-21,India,Master’s degree,Student,,
16478,Man,25-29,France,Master’s degree,Student,,
16479,Man,35-39,Russia,Master’s degree,Machine Learning Engineer,Computers/Technology,0-49 employees
16480,Man,40-44,Egypt,Bachelor’s degree,Other,Broadcasting/Communications,0-49 employees
16481,Man,18-21,Japan,Some college/university study without earning a bachelor’s degree,Student,,
16482,Woman,30-34,Kenya,Master’s degree,Business Analyst,Accounting/Finance,"1000-9,999 employees"
16483,Man,45-49,Malaysia,Doctoral degree,Program/Project Manager,Academics/Education,"1000-9,999 employees"
16484,Man,30-34,Argentina,Bachelor’s degree,Student,,
16485,Man,35-39,Taiwan,Master’s degree,Data Analyst,Online Service/Internet-based Services,50-249 employees
16486,Man,45-49,Mexico,Doctoral degree,Other,,
16487,Man,18-21,India,Bachelor’s degree,Currently not employed,,
16488,Man,22-24,India,Bachelor’s degree,Currently not employed,,
16489,Woman,18-21,Egypt,Bachelor’s degree,Student,,
16490,Woman,25-29,Argentina,Bachelor’s degree,Student,,
16491,Man,30-34,Russia,Master’s degree,Other,Manufacturing/Fabrication,250-999 employees
16492,Man,18-21,India,Bachelor’s degree,Student,,
16493,Man,25-29,Brazil,Master’s degree,Research Scientist,Hospitality/Entertainment/Sports,0-49 employees
16494,Man,30-34,Canada,Doctoral degree,Student,,
16495,Man,30-34,Other,Bachelor’s degree,Machine Learning Engineer,Non-profit/Service,0-49 employees
16496,Woman,22-24,Canada,Master’s degree,Software Engineer,Computers/Technology,"10,000 or more employees"
16497,Man,35-39,Other,Master’s degree,Data Analyst,Government/Public Service,"10,000 or more employees"
16498,Man,35-39,India,Bachelor’s degree,Software Engineer,Manufacturing/Fabrication,"10,000 or more employees"
16499,Man,25-29,India,Bachelor’s degree,Other,Other,"1000-9,999 employees"
16500,Man,22-24,Romania,Bachelor’s degree,Software Engineer,Medical/Pharmaceutical,0-49 employees
16501,Man,25-29,United States of America,Master’s degree,Data Scientist,Medical/Pharmaceutical,"1000-9,999 employees"
16502,Man,45-49,Italy,Bachelor’s degree,Program/Project Manager,Computers/Technology,"10,000 or more employees"
16503,Man,40-44,Philippines,Bachelor’s degree,Other,Online Business/Internet-based Sales,0-49 employees
16504,Man,40-44,United Kingdom of Great Britain and Northern Ireland,Doctoral degree,Research Scientist,,
16505,Man,55-59,Brazil,Bachelor’s degree,Currently not employed,,
16506,Man,25-29,Canada,Bachelor’s degree,Other,Manufacturing/Fabrication,"1000-9,999 employees"
16507,Man,30-34,India,Bachelor’s degree,Currently not employed,,
16508,Man,30-34,India,Bachelor’s degree,Currently not employed,,
16509,Woman,18-21,India,Bachelor’s degree,Student,,
16510,Man,35-39,Mexico,Bachelor’s degree,Other,Broadcasting/Communications,50-249 employees
16511,Man,22-24,India,Master’s degree,Machine Learning Engineer,Computers/Technology,0-49 employees
16512,Woman,22-24,India,Bachelor’s degree,Currently not employed,,
16513,Man,25-29,Australia,Some college/university study without earning a bachelor’s degree,Data Analyst,Military/Security/Defense,"1000-9,999 employees"
16514,Man,25-29,Japan,Master’s degree,Business Analyst,Accounting/Finance,"10,000 or more employees"
16515,Man,40-44,United Kingdom of Great Britain and Northern Ireland,Some college/university study without earning a bachelor’s degree,Machine Learning Engineer,Manufacturing/Fabrication,"10,000 or more employees"
16516,Woman,18-21,Nigeria,Bachelor’s degree,Student,,
16517,Man,30-34,Argentina,Some college/university study without earning a bachelor’s degree,Other,Broadcasting/Communications,"10,000 or more employees"
16518,Man,55-59,Spain,Bachelor’s degree,Software Engineer,Computers/Technology,"1000-9,999 employees"
16519,Man,18-21,India,Bachelor’s degree,Student,,
16520,Man,25-29,Turkey,Master’s degree,Data Scientist,Manufacturing/Fabrication,50-249 employees
16521,Man,50-54,United States of America,Doctoral degree,Data Scientist,Other,"1000-9,999 employees"
16522,Prefer not to say,35-39,United Arab Emirates,Master’s degree,Student,,
16523,Woman,35-39,Other,Master’s degree,Research Scientist,Academics/Education,0-49 employees
16524,Man,18-21,Other,Some college/university study without earning a bachelor’s degree,Student,,
16525,Man,18-21,India,Bachelor’s degree,Student,,
16526,Man,18-21,India,Bachelor’s degree,Student,,
16527,Man,45-49,Greece,Doctoral degree,Research Scientist,Government/Public Service,250-999 employees
16528,Man,35-39,I do not wish to disclose my location,Doctoral degree,Machine Learning Engineer,Medical/Pharmaceutical,0-49 employees
16529,Man,35-39,Pakistan,Doctoral degree,Research Scientist,Academics/Education,50-249 employees
16530,Woman,40-44,Other,Master’s degree,Data Analyst,Academics/Education,50-249 employees
16531,Prefer not to say,70+,I do not wish to disclose my location,Doctoral degree,Research Scientist,,
16532,Woman,55-59,Italy,Some college/university study without earning a bachelor’s degree,Other,Online Business/Internet-based Sales,0-49 employees
16533,Man,22-24,China,Some college/university study without earning a bachelor’s degree,Student,,
16534,Man,35-39,Kenya,Bachelor’s degree,Data Engineer,Computers/Technology,0-49 employees
16535,Man,18-21,China,Bachelor’s degree,Student,,
16536,Man,45-49,Netherlands,Master’s degree,Software Engineer,Energy/Mining,0-49 employees
16537,Man,55-59,India,Master’s degree,Data Scientist,Retail/Sales,0-49 employees
16538,Man,35-39,Nigeria,Master’s degree,Data Analyst,Academics/Education,0-49 employees
16539,Man,25-29,Bangladesh,Bachelor’s degree,Data Engineer,Computers/Technology,0-49 employees
16540,Man,18-21,United States of America,Bachelor’s degree,Currently not employed,,
16541,Man,45-49,Turkey,Master’s degree,Research Scientist,Academics/Education,0-49 employees
16542,Man,25-29,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,Data Scientist,Broadcasting/Communications,"10,000 or more employees"
16543,Woman,30-34,Israel,Doctoral degree,Currently not employed,,
16544,Man,25-29,Sri Lanka,Bachelor’s degree,Student,,
16545,Man,25-29,Other,I prefer not to answer,Student,,
16546,Man,25-29,India,Bachelor’s degree,Data Scientist,Retail/Sales,50-249 employees
16547,Man,22-24,India,Master’s degree,Business Analyst,Academics/Education,0-49 employees
16548,Man,50-54,Australia,Professional doctorate,Program/Project Manager,Accounting/Finance,250-999 employees
16549,Man,30-34,Nigeria,Master’s degree,Business Analyst,Computers/Technology,0-49 employees
16550,Woman,22-24,Kenya,Master’s degree,Software Engineer,Computers/Technology,250-999 employees
16551,Man,18-21,Japan,No formal education past high school,Student,,
16552,Man,25-29,India,Master’s degree,Research Scientist,Computers/Technology,"10,000 or more employees"
16553,Man,22-24,Egypt,Bachelor’s degree,Other,Other,50-249 employees
16554,Man,45-49,India,Master’s degree,Program/Project Manager,Computers/Technology,"10,000 or more employees"
16555,Man,25-29,Egypt,Bachelor’s degree,Machine Learning Engineer,Non-profit/Service,0-49 employees
16556,Man,25-29,France,Professional doctorate,Research Scientist,Academics/Education,250-999 employees
16557,Man,25-29,Nigeria,Bachelor’s degree,Currently not employed,,
16558,Man,18-21,United States of America,Some college/university study without earning a bachelor’s degree,Student,,
16559,Woman,45-49,Japan,Doctoral degree,Data Engineer,Academics/Education,"1000-9,999 employees"
16560,Man,22-24,Nepal,Master’s degree,Software Engineer,Computers/Technology,"1000-9,999 employees"
16561,Woman,25-29,South Korea,Bachelor’s degree,Student,,
16562,Man,18-21,United Kingdom of Great Britain and Northern Ireland,Master’s degree,Student,,
16563,Man,35-39,Nigeria,Bachelor’s degree,Machine Learning Engineer,,
16564,Man,35-39,United Arab Emirates,Master’s degree,Software Engineer,Government/Public Service,"10,000 or more employees"
16565,Man,22-24,Other,Bachelor’s degree,Data Analyst,Online Service/Internet-based Services,0-49 employees
16566,Man,18-21,India,Bachelor’s degree,Student,,
16567,Man,22-24,India,Master’s degree,Data Analyst,Computers/Technology,"10,000 or more employees"
16568,Man,25-29,Belgium,Bachelor’s degree,Software Engineer,Academics/Education,0-49 employees
16569,Man,30-34,Egypt,Bachelor’s degree,Data Analyst,Broadcasting/Communications,"10,000 or more employees"
16570,Man,60-69,Sweden,Master’s degree,Research Scientist,Energy/Mining,0-49 employees
16571,Man,25-29,Turkey,Bachelor’s degree,Machine Learning Engineer,Other,0-49 employees
16572,Woman,25-29,Indonesia,Bachelor’s degree,Other,Manufacturing/Fabrication,50-249 employees
16573,Woman,22-24,India,Bachelor’s degree,Currently not employed,,
16574,Man,45-49,Turkey,Doctoral degree,Other,Other,50-249 employees
16575,Woman,25-29,India,Bachelor’s degree,Currently not employed,,
16576,Man,25-29,China,Master’s degree,Data Analyst,Academics/Education,
16577,Man,30-34,Spain,Master’s degree,Program/Project Manager,Government/Public Service,"1000-9,999 employees"
16578,Man,22-24,Brazil,Master’s degree,Data Analyst,Accounting/Finance,"10,000 or more employees"
16579,Man,35-39,Mexico,Doctoral degree,Research Scientist,Academics/Education,"1000-9,999 employees"
16580,Woman,18-21,India,Bachelor’s degree,Student,,
16581,Man,25-29,India,Master’s degree,Software Engineer,Academics/Education,"1000-9,999 employees"
16582,Man,50-54,India,Master’s degree,Currently not employed,,
16583,Man,30-34,China,Master’s degree,Data Analyst,Medical/Pharmaceutical,"1000-9,999 employees"
16584,Man,18-21,United States of America,Bachelor’s degree,Student,,
16585,Woman,25-29,Greece,Master’s degree,Data Scientist,Computers/Technology,0-49 employees
16586,Woman,25-29,Brazil,Bachelor’s degree,Student,,
16587,Man,40-44,Argentina,Master’s degree,Software Engineer,Academics/Education,250-999 employees
16588,Man,35-39,Italy,Doctoral degree,Research Scientist,Academics/Education,50-249 employees
16589,Man,40-44,India,Master’s degree,Program/Project Manager,Computers/Technology,"1000-9,999 employees"
16590,Man,25-29,Malaysia,Master’s degree,Student,,
16591,Woman,30-34,Other,Bachelor’s degree,Currently not employed,,
16592,Man,45-49,Japan,Doctoral degree,Other,Medical/Pharmaceutical,"1000-9,999 employees"
16593,Man,40-44,Australia,Master’s degree,Data Scientist,Computers/Technology,250-999 employees
16594,Man,18-21,India,Master’s degree,Data Scientist,Academics/Education,
16595,Man,25-29,Brazil,Master’s degree,Data Scientist,Manufacturing/Fabrication,"10,000 or more employees"
16596,Man,25-29,India,Master’s degree,Currently not employed,,
16597,Man,55-59,Peru,Bachelor’s degree,Student,,
16598,Man,35-39,Chile,Doctoral degree,Other,Computers/Technology,0-49 employees
16599,Man,18-21,Viet Nam,Bachelor’s degree,Student,,
16600,Man,22-24,Japan,Some college/university study without earning a bachelor’s degree,Student,,
16601,Man,22-24,India,Bachelor’s degree,Software Engineer,Medical/Pharmaceutical,250-999 employees
16602,Man,40-44,United States of America,Doctoral degree,Software Engineer,Online Business/Internet-based Sales,0-49 employees
16603,Man,25-29,Ukraine,Doctoral degree,Student,,
16604,Man,22-24,India,Bachelor’s degree,Software Engineer,Online Service/Internet-based Services,0-49 employees
16605,Man,22-24,Other,Master’s degree,Student,,
16606,Woman,18-21,Indonesia,Bachelor’s degree,Student,,
16607,Man,45-49,India,Master’s degree,Data Scientist,Academics/Education,0-49 employees
16608,Man,25-29,Chile,Bachelor’s degree,Data Analyst,Academics/Education,250-999 employees
16609,Man,25-29,India,Bachelor’s degree,Software Engineer,Marketing/CRM,250-999 employees
16610,Man,30-34,United Kingdom of Great Britain and Northern Ireland,Doctoral degree,Student,,
16611,Man,35-39,Spain,Doctoral degree,Machine Learning Engineer,Accounting/Finance,"1000-9,999 employees"
16612,Man,18-21,India,Bachelor’s degree,Student,,
16613,Man,35-39,China,Bachelor’s degree,Software Engineer,Computers/Technology,"1000-9,999 employees"
16614,Man,45-49,India,Doctoral degree,Other,Academics/Education,0-49 employees
16615,Man,25-29,India,Master’s degree,Currently not employed,,
16616,Man,40-44,United States of America,Bachelor’s degree,Program/Project Manager,Broadcasting/Communications,"10,000 or more employees"
16617,Man,22-24,Russia,Master’s degree,Student,,
16618,Man,22-24,Nigeria,Master’s degree,Product Manager,Computers/Technology,0-49 employees
16619,Woman,30-34,United Arab Emirates,Master’s degree,Machine Learning Engineer,Academics/Education,250-999 employees
16620,Woman,22-24,India,Doctoral degree,Data Engineer,Computers/Technology,50-249 employees
16621,Man,35-39,Chile,Master’s degree,Business Analyst,Energy/Mining,"1000-9,999 employees"
16622,Man,45-49,United States of America,Master’s degree,Business Analyst,Shipping/Transportation,"1000-9,999 employees"
16623,Man,40-44,Argentina,Master’s degree,Other,Academics/Education,"10,000 or more employees"
16624,Man,18-21,India,Bachelor’s degree,Student,,
16625,Man,35-39,United States of America,Master’s degree,Data Scientist,Medical/Pharmaceutical,"10,000 or more employees"
16626,Man,25-29,Ghana,Master’s degree,Business Analyst,Accounting/Finance,"1000-9,999 employees"
16627,Man,18-21,United States of America,Bachelor’s degree,Machine Learning Engineer,Medical/Pharmaceutical,"10,000 or more employees"
16628,Man,18-21,India,Bachelor’s degree,Student,,
16629,Man,30-34,India,Master’s degree,Data Scientist,Computers/Technology,0-49 employees
16630,Man,55-59,Spain,Doctoral degree,Research Scientist,Academics/Education,0-49 employees
16631,Man,30-34,China,Master’s degree,Product Manager,Accounting/Finance,"10,000 or more employees"
16632,Woman,55-59,Australia,Master’s degree,Student,,
16633,Man,25-29,Brazil,Doctoral degree,Research Scientist,Academics/Education,250-999 employees
16634,Woman,45-49,Japan,Bachelor’s degree,Data Engineer,Marketing/CRM,0-49 employees
16635,Man,18-21,India,Bachelor’s degree,Student,,
16636,Man,25-29,India,Bachelor’s degree,Data Scientist,Hospitality/Entertainment/Sports,"10,000 or more employees"
16637,Man,22-24,India,Bachelor’s degree,Other,Computers/Technology,0-49 employees
16638,Man,40-44,Japan,Doctoral degree,Data Scientist,Other,0-49 employees
16639,Man,22-24,Bangladesh,Bachelor’s degree,Student,,
16640,Woman,18-21,Singapore,Bachelor’s degree,Student,,
16641,Man,30-34,China,Bachelor’s degree,Software Engineer,Online Service/Internet-based Services,0-49 employees
16642,Man,25-29,Ghana,Bachelor’s degree,Data Analyst,Online Service/Internet-based Services,0-49 employees
16643,Man,30-34,Australia,Bachelor’s degree,Data Analyst,Computers/Technology,50-249 employees
16644,Woman,30-34,India,Master’s degree,Data Scientist,Academics/Education,50-249 employees
16645,Man,22-24,Sri Lanka,Bachelor’s degree,Software Engineer,Shipping/Transportation,0-49 employees
16646,Man,55-59,United States of America,Doctoral degree,Data Scientist,Online Service/Internet-based Services,0-49 employees
16647,Man,22-24,India,Master’s degree,Student,,
16648,Woman,40-44,Philippines,Doctoral degree,Data Analyst,,
16649,Man,22-24,United States of America,Master’s degree,Data Scientist,Broadcasting/Communications,50-249 employees
16650,Woman,18-21,India,Bachelor’s degree,Student,,
16651,Woman,30-34,"Iran, Islamic Republic of...",Master’s degree,Data Scientist,Academics/Education,0-49 employees
16652,Man,30-34,Australia,Doctoral degree,Data Scientist,Energy/Mining,"10,000 or more employees"
16653,Man,35-39,Japan,Master’s degree,Software Engineer,Academics/Education,250-999 employees
16654,Man,22-24,India,Bachelor’s degree,Student,,
16655,Woman,22-24,Tunisia,Doctoral degree,Student,,
16656,Man,35-39,France,Master’s degree,Business Analyst,Insurance/Risk Assessment,50-249 employees
16657,Woman,18-21,India,Bachelor’s degree,Student,,
16658,Man,18-21,South Korea,Some college/university study without earning a bachelor’s degree,Student,,
16659,Man,25-29,Germany,Master’s degree,Student,,
16660,Man,18-21,India,Some college/university study without earning a bachelor’s degree,Student,,
16661,Man,50-54,Turkey,Master’s degree,Data Analyst,Government/Public Service,"1000-9,999 employees"
16662,Man,18-21,Mexico,Some college/university study without earning a bachelor’s degree,Machine Learning Engineer,Academics/Education,0-49 employees
16663,Woman,40-44,India,Master’s degree,Business Analyst,Computers/Technology,"10,000 or more employees"
16664,Man,18-21,Nigeria,Bachelor’s degree,Student,,
16665,Man,25-29,United Kingdom of Great Britain and Northern Ireland,Master’s degree,Student,,
16666,Man,40-44,Nigeria,Master’s degree,Data Scientist,Academics/Education,0-49 employees
16667,Man,40-44,Russia,Doctoral degree,Data Scientist,Energy/Mining,"10,000 or more employees"
16668,Man,25-29,Kenya,Bachelor’s degree,Currently not employed,,
16669,Woman,22-24,Malaysia,Bachelor’s degree,Student,,
16670,Woman,35-39,Germany,Doctoral degree,Data Analyst,Online Service/Internet-based Services,"1000-9,999 employees"
16671,Man,35-39,Germany,Master’s degree,Data Analyst,Medical/Pharmaceutical,0-49 employees
16672,Man,25-29,Thailand,Master’s degree,Software Engineer,Accounting/Finance,250-999 employees
16673,Man,25-29,Mexico,Bachelor’s degree,Data Analyst,Accounting/Finance,"10,000 or more employees"
16674,Man,30-34,Turkey,Doctoral degree,Data Scientist,Academics/Education,0-49 employees
16675,Man,18-21,India,I prefer not to answer,Data Scientist,,
16676,Prefer not to say,22-24,India,Bachelor’s degree,Data Analyst,Accounting/Finance,"1000-9,999 employees"
16677,Man,30-34,Romania,Bachelor’s degree,Currently not employed,,
16678,Man,35-39,"Iran, Islamic Republic of...",Professional doctorate,Machine Learning Engineer,Academics/Education,250-999 employees
16679,Man,30-34,India,Master’s degree,Program/Project Manager,Computers/Technology,"1000-9,999 employees"
16680,Man,45-49,United States of America,I prefer not to answer,Other,Hospitality/Entertainment/Sports,"1000-9,999 employees"
16681,Man,25-29,Nigeria,Bachelor’s degree,Data Analyst,Non-profit/Service,"10,000 or more employees"
16682,Man,25-29,Mexico,Bachelor’s degree,Other,Energy/Mining,"1000-9,999 employees"
16683,Woman,18-21,Nigeria,Some college/university study without earning a bachelor’s degree,Software Engineer,Computers/Technology,50-249 employees
16684,Man,35-39,Belarus,Master’s degree,Software Engineer,Online Business/Internet-based Sales,0-49 employees
16685,Man,25-29,India,Bachelor’s degree,Data Scientist,Other,0-49 employees
16686,Man,25-29,China,Master’s degree,Currently not employed,,
16687,Man,25-29,South Korea,Some college/university study without earning a bachelor’s degree,Student,,
16688,Man,25-29,Indonesia,Bachelor’s degree,Currently not employed,,
16689,Man,18-21,Russia,Bachelor’s degree,Student,,
16690,Woman,50-54,India,Doctoral degree,Other,Computers/Technology,0-49 employees
16691,Man,30-34,Japan,Master’s degree,Other,Computers/Technology,"1000-9,999 employees"
16692,Man,55-59,Netherlands,Master’s degree,Research Scientist,Government/Public Service,"1000-9,999 employees"
16693,Man,45-49,Other,Master’s degree,Machine Learning Engineer,Computers/Technology,0-49 employees
16694,Woman,22-24,India,Bachelor’s degree,Student,,
16695,Man,45-49,United States of America,Doctoral degree,Data Scientist,Government/Public Service,0-49 employees
16696,Man,18-21,Viet Nam,Bachelor’s degree,Student,,
16697,Man,30-34,Portugal,Bachelor’s degree,Data Scientist,Retail/Sales,"1000-9,999 employees"
16698,Man,25-29,India,Bachelor’s degree,Currently not employed,,
16699,Man,25-29,Russia,Master’s degree,Data Analyst,Retail/Sales,"10,000 or more employees"
16700,Man,35-39,Brazil,Bachelor’s degree,Program/Project Manager,Manufacturing/Fabrication,250-999 employees
16701,Man,22-24,India,Bachelor’s degree,Student,,
16702,Man,18-21,India,Bachelor’s degree,Student,,
16703,Man,50-54,South Korea,Bachelor’s degree,Currently not employed,,
16704,Woman,25-29,South Africa,Master’s degree,Data Scientist,Academics/Education,0-49 employees
16705,Man,25-29,Brazil,Bachelor’s degree,Currently not employed,,
16706,Man,35-39,United States of America,Master’s degree,Other,Computers/Technology,"1000-9,999 employees"
16707,Woman,18-21,India,Bachelor’s degree,Student,,
16708,Man,22-24,"Iran, Islamic Republic of...",Master’s degree,Student,,
16709,Man,18-21,India,Bachelor’s degree,Data Engineer,Medical/Pharmaceutical,"10,000 or more employees"
16710,Man,25-29,Belarus,Some college/university study without earning a bachelor’s degree,Data Scientist,Non-profit/Service,0-49 employees
16711,Man,40-44,India,Doctoral degree,Other,Other,250-999 employees
16712,Man,30-34,Italy,Doctoral degree,Research Scientist,Academics/Education,0-49 employees
16713,Man,45-49,Italy,Master’s degree,Data Scientist,Computers/Technology,0-49 employees
16714,Man,18-21,United States of America,Some college/university study without earning a bachelor’s degree,Machine Learning Engineer,,
16715,Woman,22-24,India,Bachelor’s degree,Software Engineer,Other,"10,000 or more employees"
16716,Man,40-44,Other,Master’s degree,Research Scientist,Government/Public Service,50-249 employees
16717,Man,60-69,Mexico,Bachelor’s degree,Business Analyst,Retail/Sales,0-49 employees
16718,Man,35-39,Turkey,Doctoral degree,Other,Online Business/Internet-based Sales,"1000-9,999 employees"
16719,Man,25-29,Other,Master’s degree,Software Engineer,Computers/Technology,50-249 employees
16720,Man,70+,United Kingdom of Great Britain and Northern Ireland,Doctoral degree,Research Scientist,Academics/Education,"1000-9,999 employees"
16721,Man,45-49,Argentina,Master’s degree,Data Scientist,Accounting/Finance,250-999 employees
16722,Woman,18-21,Turkey,Bachelor’s degree,Student,,
16723,Man,40-44,Austria,Some college/university study without earning a bachelor’s degree,Student,,
16724,Man,35-39,Sweden,Master’s degree,Software Engineer,Computers/Technology,"1000-9,999 employees"
16725,Man,22-24,Morocco,Master’s degree,Currently not employed,,
16726,Man,25-29,India,Bachelor’s degree,Data Scientist,Computers/Technology,0-49 employees
16727,Man,40-44,Ghana,Bachelor’s degree,Data Analyst,Computers/Technology,"1000-9,999 employees"
16728,Man,25-29,Kenya,Bachelor’s degree,Currently not employed,,
16729,Man,22-24,India,Master’s degree,Data Scientist,Manufacturing/Fabrication,250-999 employees
16730,Man,40-44,Pakistan,Master’s degree,Data Analyst,Manufacturing/Fabrication,"10,000 or more employees"
16731,Man,35-39,France,Bachelor’s degree,Data Scientist,Manufacturing/Fabrication,"1000-9,999 employees"
16732,Man,18-21,India,Some college/university study without earning a bachelor’s degree,Student,,
16733,Woman,25-29,Kenya,Some college/university study without earning a bachelor’s degree,Software Engineer,Marketing/CRM,0-49 employees
16734,Man,50-54,Other,Master’s degree,Data Scientist,Accounting/Finance,250-999 employees
16735,Man,22-24,India,Some college/university study without earning a bachelor’s degree,Developer Relations/Advocacy,Computers/Technology,0-49 employees
16736,Man,22-24,Thailand,Master’s degree,Data Analyst,Insurance/Risk Assessment,0-49 employees
16737,Man,30-34,India,Bachelor’s degree,Other,Broadcasting/Communications,50-249 employees
16738,Man,25-29,Canada,Bachelor’s degree,Data Analyst,Other,50-249 employees
16739,Man,25-29,Russia,Bachelor’s degree,Product Manager,Accounting/Finance,0-49 employees
16740,Woman,40-44,France,Master’s degree,Currently not employed,,
16741,Man,22-24,Other,Master’s degree,Data Engineer,Computers/Technology,50-249 employees
16742,Woman,22-24,Ghana,Bachelor’s degree,Currently not employed,,
16743,Woman,22-24,Indonesia,Bachelor’s degree,Currently not employed,,
16744,Man,18-21,Viet Nam,Bachelor’s degree,Student,,
16745,Woman,35-39,Peru,Master’s degree,Data Analyst,Insurance/Risk Assessment,"1000-9,999 employees"
16746,Man,40-44,Bangladesh,Bachelor’s degree,Other,Government/Public Service,"1000-9,999 employees"
16747,Man,30-34,Indonesia,Master’s degree,Software Engineer,Retail/Sales,"10,000 or more employees"
16748,Man,25-29,France,Master’s degree,Data Scientist,,
16749,Man,22-24,"Iran, Islamic Republic of...",Bachelor’s degree,Student,,
16750,Man,18-21,Egypt,Bachelor’s degree,Student,,
16751,Man,25-29,United States of America,Master’s degree,Data Analyst,Computers/Technology,0-49 employees
16752,Man,25-29,United States of America,Doctoral degree,Data Scientist,Online Service/Internet-based Services,"10,000 or more employees"
16753,Woman,22-24,Hong Kong (S.A.R.),Master’s degree,Data Analyst,,
16754,Man,35-39,Nigeria,Master’s degree,Other,Energy/Mining,"1000-9,999 employees"
16755,Man,30-34,India,Bachelor’s degree,Currently not employed,,
16756,Woman,55-59,Iraq,Doctoral degree,Machine Learning Engineer,Academics/Education,50-249 employees
16757,Woman,25-29,Tunisia,Master’s degree,Student,,
16758,Woman,25-29,United States of America,Master’s degree,Data Analyst,Non-profit/Service,"1000-9,999 employees"
16759,Man,22-24,Turkey,Master’s degree,Student,,
16760,Man,45-49,Mexico,Doctoral degree,Research Scientist,Academics/Education,"1000-9,999 employees"
16761,Man,50-54,United States of America,Master’s degree,Research Scientist,Computers/Technology,0-49 employees
16762,Woman,25-29,United States of America,Master’s degree,Program/Project Manager,Government/Public Service,"10,000 or more employees"
16763,Woman,45-49,India,Master’s degree,Student,,
16764,Man,18-21,India,Bachelor’s degree,Student,,
16765,Man,22-24,Other,Bachelor’s degree,Student,,
16766,Man,35-39,Japan,Bachelor’s degree,Other,Computers/Technology,"10,000 or more employees"
16767,Man,25-29,Czech Republic,Master’s degree,Software Engineer,Online Service/Internet-based Services,50-249 employees
16768,Man,25-29,Indonesia,Bachelor’s degree,Other,Manufacturing/Fabrication,"1000-9,999 employees"
16769,Man,18-21,Other,Bachelor’s degree,Student,,
16770,Man,35-39,Hong Kong (S.A.R.),Doctoral degree,Other,Accounting/Finance,"10,000 or more employees"
16771,Woman,22-24,India,Master’s degree,Student,,
16772,Man,25-29,Brazil,Master’s degree,Data Engineer,Accounting/Finance,"1000-9,999 employees"
16773,Man,22-24,India,Bachelor’s degree,Data Scientist,Hospitality/Entertainment/Sports,0-49 employees
16774,Woman,30-34,United States of America,Bachelor’s degree,Currently not employed,,
16775,Man,40-44,United States of America,Some college/university study without earning a bachelor’s degree,Program/Project Manager,Online Service/Internet-based Services,"10,000 or more employees"
16776,Man,35-39,Spain,Doctoral degree,Machine Learning Engineer,Online Service/Internet-based Services,"1000-9,999 employees"
16777,Man,18-21,India,Master’s degree,Data Scientist,,
16778,Woman,45-49,Indonesia,Doctoral degree,Business Analyst,Government/Public Service,"10,000 or more employees"
16779,Man,25-29,Pakistan,Doctoral degree,Student,,
16780,Woman,25-29,Brazil,Some college/university study without earning a bachelor’s degree,Software Engineer,Computers/Technology,0-49 employees
16781,Man,55-59,Mexico,Some college/university study without earning a bachelor’s degree,Student,,
16782,Woman,35-39,United States of America,Master’s degree,Business Analyst,Academics/Education,"10,000 or more employees"
16783,Man,35-39,Russia,Master’s degree,Business Analyst,Accounting/Finance,0-49 employees
16784,Man,25-29,India,Master’s degree,Software Engineer,Computers/Technology,50-249 employees
16785,Man,18-21,India,Master’s degree,Student,,
16786,Man,40-44,India,Doctoral degree,Data Scientist,Insurance/Risk Assessment,250-999 employees
16787,Man,22-24,Russia,Bachelor’s degree,Currently not employed,,
16788,Woman,30-34,Other,Doctoral degree,Data Analyst,Government/Public Service,0-49 employees
16789,Man,25-29,India,Master’s degree,Student,,
16790,Woman,18-21,India,Bachelor’s degree,Student,,
16791,Woman,30-34,United States of America,Master’s degree,Student,,
16792,Man,25-29,Spain,Bachelor’s degree,Data Engineer,Non-profit/Service,0-49 employees
16793,Man,25-29,United States of America,Master’s degree,Data Scientist,Medical/Pharmaceutical,"10,000 or more employees"
16794,Man,70+,India,Master’s degree,Other,Online Service/Internet-based Services,50-249 employees
16795,Woman,18-21,United States of America,Master’s degree,Student,,
