,genero,edad,pais,nivel de estudios,puesto de trabajo,sector,tamaño de la compañia,continente,rama
15759,Man,22-24,China,Bachelor’s degree,Data Scientist,Computers/Technology,0-49 employees,Asia,data
15761,Man,40-44,Austria,Master’s degree,Business Analyst,Energy/Mining,50-249 employees,Europa,data
15763,Man,50-54,Thailand,Bachelor’s degree,Developer Relations/Advocacy,Insurance/Risk Assessment,"1000-9,999 employees",Asia,other
15765,Man,40-44,Japan,Master’s degree,Research Scientist,Computers/Technology,"10,000 or more employees",Asia,data
15767,Woman,40-44,France,Master’s degree,Data Scientist,Medical/Pharmaceutical,0-49 employees,Europa,data
15769,Man,30-34,Russia,Master’s degree,Data Analyst,Retail/Sales,250-999 employees,Europa,data
15770,Man,18-21,China,Bachelor’s degree,Data Engineer,Retail/Sales,0-49 employees,Asia,data
15771,Man,30-34,"Iran, Islamic Republic of...",Master’s degree,Data Scientist,Accounting/Finance,"10,000 or more employees",África,data
15772,Woman,30-34,Greece,Doctoral degree,Research Scientist,Academics/Education,250-999 employees,Europa,data
15773,Man,30-34,United States of America,Master’s degree,Program/Project Manager,Computers/Technology,"10,000 or more employees",América del Norte,other
15774,Man,35-39,United States of America,Master’s degree,Program/Project Manager,Computers/Technology,50-249 employees,América del Norte,other
15776,Woman,55-59,Japan,Some college/university study without earning a bachelor’s degree,Software Engineer,Computers/Technology,50-249 employees,Asia,developer
15777,Man,18-21,Turkey,Bachelor’s degree,Machine Learning Engineer,Computers/Technology,0-49 employees,Asia,data
15778,Man,35-39,Hong Kong (S.A.R.),No formal education past high school,Program/Project Manager,Shipping/Transportation,0-49 employees,Asia,other
15779,Man,30-34,United States of America,Master’s degree,Data Analyst,Computers/Technology,50-249 employees,América del Norte,data
15781,Man,30-34,Poland,Master’s degree,Data Scientist,Accounting/Finance,"1000-9,999 employees",Europa,data
15782,Man,30-34,India,Master’s degree,Research Scientist,Computers/Technology,"1000-9,999 employees",Asia,data
15789,Man,45-49,United States of America,Doctoral degree,Data Engineer,Other,0-49 employees,América del Norte,data
15790,Man,22-24,United States of America,Master’s degree,Data Analyst,Retail/Sales,250-999 employees,América del Norte,data
15791,Man,45-49,Australia,Bachelor’s degree,Data Engineer,Energy/Mining,0-49 employees,Oceanía,data
15793,Man,25-29,Ethiopia,Bachelor’s degree,Data Scientist,Computers/Technology,0-49 employees,África,data
15794,Man,25-29,Brazil,Bachelor’s degree,Data Scientist,Computers/Technology,0-49 employees,América del Sur,data
15795,Woman,45-49,United States of America,Bachelor’s degree,Data Analyst,Government/Public Service,"10,000 or more employees",América del Norte,data
15796,Man,18-21,India,Bachelor’s degree,Data Scientist,Computers/Technology,50-249 employees,Asia,data
15798,Man,25-29,United States of America,Bachelor’s degree,Data Analyst,Other,0-49 employees,América del Norte,data
15801,Man,22-24,India,Some college/university study without earning a bachelor’s degree,Data Scientist,Manufacturing/Fabrication,0-49 employees,Asia,data
15804,Man,45-49,Russia,Master’s degree,Product Manager,Computers/Technology,0-49 employees,Europa,other
15805,Man,35-39,Indonesia,Master’s degree,Software Engineer,Academics/Education,"1000-9,999 employees",Asia,developer
15807,Man,45-49,Mexico,Doctoral degree,Research Scientist,Academics/Education,50-249 employees,América del Sur,data
15808,Man,18-21,India,Bachelor’s degree,Software Engineer,Online Service/Internet-based Services,"10,000 or more employees",Asia,developer
15811,Woman,55-59,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,Product Manager,Retail/Sales,0-49 employees,Europa,other
15812,Man,35-39,Algeria,Master’s degree,Data Scientist,Energy/Mining,250-999 employees,África,data
15813,Man,40-44,Russia,Master’s degree,Data Scientist,Accounting/Finance,0-49 employees,Europa,data
15815,Man,25-29,India,Bachelor’s degree,Software Engineer,Accounting/Finance,"10,000 or more employees",Asia,developer
15816,Man,30-34,Nigeria,Bachelor’s degree,Software Engineer,Non-profit/Service,0-49 employees,África,developer
15817,Man,45-49,Japan,Master’s degree,Software Engineer,Online Business/Internet-based Sales,50-249 employees,Asia,developer
15819,Man,35-39,Italy,Doctoral degree,Data Scientist,Hospitality/Entertainment/Sports,"1000-9,999 employees",Europa,data
15821,Woman,30-34,Turkey,Master’s degree,Data Scientist,Accounting/Finance,"1000-9,999 employees",Asia,data
15825,Woman,40-44,Colombia,Master’s degree,Data Analyst,Computers/Technology,0-49 employees,América del Sur,data
15826,Man,25-29,Japan,Master’s degree,Program/Project Manager,Accounting/Finance,"1000-9,999 employees",Asia,other
15828,Man,22-24,India,Bachelor’s degree,Data Analyst,Accounting/Finance,50-249 employees,Asia,data
15829,Woman,35-39,Germany,Master’s degree,Data Analyst,Online Service/Internet-based Services,50-249 employees,Europa,data
15832,Man,45-49,Thailand,Master’s degree,Program/Project Manager,Computers/Technology,"1000-9,999 employees",Asia,other
15834,Man,25-29,United States of America,Master’s degree,Research Scientist,Non-profit/Service,0-49 employees,América del Norte,data
15836,Man,25-29,South Korea,Some college/university study without earning a bachelor’s degree,Data Analyst,Academics/Education,0-49 employees,Asia,data
15837,Woman,35-39,United States of America,Master’s degree,Data Analyst,Government/Public Service,"10,000 or more employees",América del Norte,data
15842,Man,60-69,Germany,Professional doctorate,Statistician,Medical/Pharmaceutical,0-49 employees,Europa,other
15844,Woman,25-29,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,Data Analyst,Online Service/Internet-based Services,"10,000 or more employees",Europa,data
15846,Man,25-29,Russia,Master’s degree,Data Analyst,Government/Public Service,"10,000 or more employees",Europa,data
15847,Woman,40-44,Nigeria,Master’s degree,Business Analyst,Retail/Sales,0-49 employees,África,data
15850,Man,60-69,Japan,Bachelor’s degree,Product Manager,Manufacturing/Fabrication,"10,000 or more employees",Asia,other
15851,Woman,25-29,France,Master’s degree,Program/Project Manager,Academics/Education,0-49 employees,Europa,other
15852,Man,25-29,India,Bachelor’s degree,Machine Learning Engineer,Academics/Education,0-49 employees,Asia,data
15853,Woman,25-29,India,Master’s degree,Research Scientist,Academics/Education,"10,000 or more employees",Asia,data
15854,Man,30-34,Pakistan,Bachelor’s degree,Software Engineer,Computers/Technology,0-49 employees,Asia,developer
15855,Man,22-24,India,Bachelor’s degree,Data Analyst,Computers/Technology,"10,000 or more employees",Asia,data
15856,Man,22-24,Bangladesh,Some college/university study without earning a bachelor’s degree,Data Scientist,Academics/Education,0-49 employees,Asia,data
15857,Man,25-29,Poland,Bachelor’s degree,Data Analyst,,,Europa,data
15859,Man,30-34,Argentina,Some college/university study without earning a bachelor’s degree,Software Engineer,Medical/Pharmaceutical,250-999 employees,América del Sur,developer
15861,Man,25-29,India,Professional doctorate,Data Analyst,Computers/Technology,250-999 employees,Asia,data
15863,Man,25-29,Nigeria,Bachelor’s degree,Program/Project Manager,Academics/Education,250-999 employees,África,other
15864,Man,30-34,United States of America,Doctoral degree,Data Scientist,Computers/Technology,50-249 employees,América del Norte,data
15869,Man,25-29,United Kingdom of Great Britain and Northern Ireland,Doctoral degree,Software Engineer,Computers/Technology,50-249 employees,Europa,developer
15870,Woman,25-29,Philippines,Bachelor’s degree,Data Analyst,Broadcasting/Communications,"1000-9,999 employees",Asia,data
15873,Woman,22-24,India,Master’s degree,Machine Learning Engineer,Energy/Mining,0-49 employees,Asia,data
15877,Man,55-59,Italy,Doctoral degree,Statistician,Medical/Pharmaceutical,250-999 employees,Europa,other
15886,Woman,30-34,Bangladesh,Doctoral degree,Machine Learning Engineer,,,Asia,data
15889,Man,40-44,United States of America,Doctoral degree,Software Engineer,Computers/Technology,"10,000 or more employees",América del Norte,developer
15891,Man,30-34,China,Professional doctorate,Data Scientist,,,Asia,data
15893,Man,30-34,Chile,Master’s degree,Data Analyst,Retail/Sales,250-999 employees,América del Sur,data
15894,Man,35-39,Tunisia,Bachelor’s degree,Business Analyst,Broadcasting/Communications,"1000-9,999 employees",África,data
15895,Man,30-34,Chile,Bachelor’s degree,Data Scientist,Other,250-999 employees,América del Sur,data
15896,Man,45-49,Spain,Bachelor’s degree,Program/Project Manager,Other,250-999 employees,Europa,other
15897,Woman,25-29,China,Master’s degree,Data Scientist,Computers/Technology,0-49 employees,Asia,data
15898,Woman,25-29,United Kingdom of Great Britain and Northern Ireland,Doctoral degree,Research Scientist,Computers/Technology,0-49 employees,Europa,data
15899,Man,35-39,Ghana,Master’s degree,Program/Project Manager,Retail/Sales,0-49 employees,África,other
15900,Man,45-49,France,Doctoral degree,Machine Learning Engineer,Medical/Pharmaceutical,"1000-9,999 employees",Europa,data
15902,Man,25-29,Russia,Master’s degree,Data Analyst,Computers/Technology,0-49 employees,Europa,data
15903,Woman,45-49,Thailand,Bachelor’s degree,Business Analyst,Computers/Technology,0-49 employees,Asia,data
15904,Woman,35-39,Romania,Master’s degree,Data Scientist,Computers/Technology,"1000-9,999 employees",Europa,data
15906,Man,60-69,United States of America,Doctoral degree,Research Scientist,Academics/Education,"1000-9,999 employees",América del Norte,data
15908,Man,25-29,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,Software Engineer,Computers/Technology,"10,000 or more employees",Europa,developer
15909,Man,18-21,India,Master’s degree,Data Engineer,Other,0-49 employees,Asia,data
15910,Man,22-24,Russia,Bachelor’s degree,Data Analyst,Non-profit/Service,0-49 employees,Europa,data
15915,Man,25-29,United States of America,Bachelor’s degree,Data Scientist,Computers/Technology,"10,000 or more employees",América del Norte,data
15917,Man,18-21,Pakistan,Bachelor’s degree,Machine Learning Engineer,Hospitality/Entertainment/Sports,0-49 employees,Asia,data
15918,Man,25-29,United States of America,Master’s degree,Machine Learning Engineer,Academics/Education,0-49 employees,América del Norte,data
15920,Man,22-24,Nepal,Bachelor’s degree,Data Analyst,Non-profit/Service,0-49 employees,Asia,data
15922,Man,25-29,India,Master’s degree,Data Scientist,Online Service/Internet-based Services,0-49 employees,Asia,data
15925,Man,50-54,Spain,Some college/university study without earning a bachelor’s degree,Business Analyst,Government/Public Service,"10,000 or more employees",Europa,data
15926,Woman,25-29,Turkey,Bachelor’s degree,Software Engineer,Shipping/Transportation,0-49 employees,Asia,developer
15927,Man,22-24,Mexico,Bachelor’s degree,Software Engineer,Computers/Technology,"10,000 or more employees",América del Sur,developer
15928,Man,35-39,Netherlands,Master’s degree,Data Analyst,Government/Public Service,"10,000 or more employees",Europa,data
15930,Man,35-39,Germany,Doctoral degree,Research Scientist,Government/Public Service,0-49 employees,Europa,data
15933,Woman,35-39,Peru,Doctoral degree,Research Scientist,Academics/Education,50-249 employees,América del Sur,data
15934,Woman,35-39,Czech Republic,Doctoral degree,Machine Learning Engineer,Computers/Technology,50-249 employees,Europa,data
15935,Woman,25-29,Morocco,Doctoral degree,Research Scientist,Academics/Education,0-49 employees,África,data
15938,Man,35-39,Japan,Some college/university study without earning a bachelor’s degree,DBA/Database Engineer,,,Asia,data
15939,Woman,22-24,Malaysia,Bachelor’s degree,Data Analyst,Computers/Technology,0-49 employees,Asia,data
15941,Man,25-29,Belgium,Master’s degree,Data Scientist,Energy/Mining,0-49 employees,Europa,data
15944,Man,22-24,India,Bachelor’s degree,Software Engineer,Computers/Technology,250-999 employees,Asia,developer
15946,Man,35-39,Japan,Doctoral degree,Research Scientist,Academics/Education,250-999 employees,Asia,data
15947,Man,25-29,Iraq,Master’s degree,Data Scientist,Computers/Technology,0-49 employees,África,data
15952,Man,18-21,India,Master’s degree,Software Engineer,Computers/Technology,0-49 employees,Asia,developer
15953,Man,18-21,India,Bachelor’s degree,Software Engineer,Computers/Technology,"10,000 or more employees",Asia,developer
15954,Man,50-54,Egypt,Bachelor’s degree,Program/Project Manager,Medical/Pharmaceutical,0-49 employees,África,other
15955,Man,25-29,United States of America,Master’s degree,Data Scientist,Computers/Technology,"1000-9,999 employees",América del Norte,data
15956,Man,60-69,United States of America,Master’s degree,Statistician,Government/Public Service,"10,000 or more employees",América del Norte,other
15959,Man,25-29,Germany,Master’s degree,Machine Learning Engineer,Manufacturing/Fabrication,"1000-9,999 employees",Europa,data
15963,Man,25-29,China,Bachelor’s degree,Software Engineer,Manufacturing/Fabrication,50-249 employees,Asia,developer
15964,Man,30-34,United States of America,Master’s degree,Software Engineer,Accounting/Finance,0-49 employees,América del Norte,developer
15968,Man,25-29,India,Bachelor’s degree,Data Analyst,Accounting/Finance,"1000-9,999 employees",Asia,data
15969,Man,50-54,Spain,Master’s degree,Software Engineer,Computers/Technology,50-249 employees,Europa,developer
15970,Woman,35-39,United States of America,Doctoral degree,Data Scientist,Broadcasting/Communications,250-999 employees,América del Norte,data
15971,Man,22-24,Egypt,Bachelor’s degree,Statistician,Academics/Education,0-49 employees,África,other
15972,Man,25-29,India,Master’s degree,Machine Learning Engineer,Computers/Technology,0-49 employees,Asia,data
15973,Man,35-39,Argentina,Master’s degree,Data Scientist,Online Business/Internet-based Sales,"10,000 or more employees",América del Sur,data
15980,Man,30-34,United States of America,Bachelor’s degree,Business Analyst,Other,50-249 employees,América del Norte,data
15982,Man,22-24,"Iran, Islamic Republic of...",Bachelor’s degree,Data Scientist,,,África,data
15985,Man,25-29,Spain,Some college/university study without earning a bachelor’s degree,Data Scientist,Online Business/Internet-based Sales,250-999 employees,Europa,data
15986,Man,40-44,United States of America,Doctoral degree,Data Scientist,Online Service/Internet-based Services,50-249 employees,América del Norte,data
15990,Man,18-21,Germany,Bachelor’s degree,Software Engineer,Manufacturing/Fabrication,"10,000 or more employees",Europa,developer
15991,Man,35-39,Portugal,Bachelor’s degree,Data Analyst,Accounting/Finance,0-49 employees,Europa,data
15992,Man,25-29,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,Data Analyst,Other,"10,000 or more employees",Europa,data
15996,Woman,45-49,Mexico,Master’s degree,Data Engineer,Manufacturing/Fabrication,"10,000 or more employees",América del Sur,data
15997,Man,40-44,India,Master’s degree,Software Engineer,Computers/Technology,250-999 employees,Asia,developer
15998,Man,22-24,India,Bachelor’s degree,Software Engineer,Computers/Technology,0-49 employees,Asia,developer
15999,Man,60-69,Brazil,Master’s degree,Machine Learning Engineer,Computers/Technology,0-49 employees,América del Sur,data
16001,Man,50-54,Spain,Master’s degree,Data Engineer,Government/Public Service,50-249 employees,Europa,data
16006,Man,30-34,Israel,Master’s degree,Data Scientist,Online Service/Internet-based Services,50-249 employees,Asia,data
16007,Man,35-39,India,Master’s degree,Product Manager,Computers/Technology,"1000-9,999 employees",Asia,other
16008,Man,40-44,United Kingdom of Great Britain and Northern Ireland,Professional doctorate,Program/Project Manager,Accounting/Finance,"10,000 or more employees",Europa,other
16009,Man,30-34,India,Bachelor’s degree,Business Analyst,Computers/Technology,"10,000 or more employees",Asia,data
16010,Man,30-34,Australia,Doctoral degree,Research Scientist,Academics/Education,"1000-9,999 employees",Oceanía,data
16011,Man,60-69,United States of America,Doctoral degree,Research Scientist,Academics/Education,0-49 employees,América del Norte,data
16017,Man,40-44,Nigeria,Doctoral degree,Software Engineer,Academics/Education,"1000-9,999 employees",África,developer
16018,Man,55-59,Thailand,Doctoral degree,Statistician,Government/Public Service,"1000-9,999 employees",Asia,other
16021,Man,18-21,Peru,Some college/university study without earning a bachelor’s degree,Data Analyst,Accounting/Finance,0-49 employees,América del Sur,data
16023,Man,40-44,France,Master’s degree,Data Scientist,Shipping/Transportation,50-249 employees,Europa,data
16027,Man,22-24,Egypt,No formal education past high school,Data Engineer,Academics/Education,0-49 employees,África,data
16032,Man,35-39,Russia,Master’s degree,Business Analyst,Online Business/Internet-based Sales,"10,000 or more employees",Europa,data
16036,Man,35-39,India,Master’s degree,Program/Project Manager,Hospitality/Entertainment/Sports,50-249 employees,Asia,other
16037,Man,22-24,Russia,Master’s degree,Machine Learning Engineer,Retail/Sales,0-49 employees,Europa,data
16040,Man,45-49,Canada,Master’s degree,Data Scientist,Broadcasting/Communications,"1000-9,999 employees",América del Norte,data
16042,Man,35-39,India,Bachelor’s degree,Machine Learning Engineer,Computers/Technology,"10,000 or more employees",Asia,data
16046,Man,45-49,United Kingdom of Great Britain and Northern Ireland,Doctoral degree,Software Engineer,Government/Public Service,"1000-9,999 employees",Europa,developer
16047,Man,30-34,Argentina,Some college/university study without earning a bachelor’s degree,Data Scientist,Manufacturing/Fabrication,50-249 employees,América del Sur,data
16048,Man,45-49,Japan,Master’s degree,Software Engineer,Computers/Technology,50-249 employees,Asia,developer
16050,Man,22-24,South Korea,No formal education past high school,Machine Learning Engineer,Computers/Technology,50-249 employees,Asia,data
16051,Man,22-24,Nigeria,Professional doctorate,Machine Learning Engineer,Non-profit/Service,0-49 employees,África,data
16053,Man,25-29,Nepal,Bachelor’s degree,Data Scientist,Computers/Technology,0-49 employees,Asia,data
16056,Man,50-54,Russia,Master’s degree,Data Analyst,Manufacturing/Fabrication,250-999 employees,Europa,data
16058,Man,25-29,United States of America,Master’s degree,Data Analyst,Shipping/Transportation,"10,000 or more employees",América del Norte,data
16060,Man,45-49,Germany,Doctoral degree,Data Scientist,Computers/Technology,"10,000 or more employees",Europa,data
16064,Man,50-54,Indonesia,Master’s degree,Business Analyst,Academics/Education,0-49 employees,Asia,data
16065,Man,55-59,Japan,Doctoral degree,Research Scientist,Academics/Education,"1000-9,999 employees",Asia,data
16066,Man,45-49,Russia,Bachelor’s degree,Research Scientist,Energy/Mining,0-49 employees,Europa,data
16068,Man,30-34,Algeria,Doctoral degree,Research Scientist,Academics/Education,0-49 employees,África,data
16070,Man,25-29,Malaysia,Bachelor’s degree,Data Scientist,Insurance/Risk Assessment,250-999 employees,Asia,data
16071,Man,30-34,Singapore,Bachelor’s degree,Data Analyst,Computers/Technology,250-999 employees,Asia,data
16074,Man,40-44,Russia,Some college/university study without earning a bachelor’s degree,Business Analyst,Marketing/CRM,0-49 employees,Europa,data
16078,Man,35-39,"Iran, Islamic Republic of...",Doctoral degree,Software Engineer,Academics/Education,0-49 employees,África,developer
16082,Woman,50-54,Thailand,I prefer not to answer,Research Scientist,Academics/Education,"1000-9,999 employees",Asia,data
16083,Man,40-44,India,Bachelor’s degree,Program/Project Manager,Computers/Technology,250-999 employees,Asia,other
16085,Man,25-29,Saudi Arabia,I prefer not to answer,Data Scientist,,,Asia,data
16087,Woman,25-29,Canada,Bachelor’s degree,Data Analyst,Accounting/Finance,"10,000 or more employees",América del Norte,data
16088,Man,45-49,United States of America,Master’s degree,Program/Project Manager,Military/Security/Defense,"10,000 or more employees",América del Norte,other
16089,Man,22-24,India,Bachelor’s degree,Research Scientist,Computers/Technology,250-999 employees,Asia,data
16090,Man,25-29,Italy,Bachelor’s degree,Machine Learning Engineer,Academics/Education,50-249 employees,Europa,data
16091,Man,50-54,India,Doctoral degree,Data Scientist,Manufacturing/Fabrication,"10,000 or more employees",Asia,data
16092,Man,40-44,Mexico,Master’s degree,Business Analyst,Accounting/Finance,"10,000 or more employees",América del Sur,data
16093,Man,50-54,Ireland,Master’s degree,Data Engineer,Government/Public Service,"1000-9,999 employees",Europa,data
16097,Man,35-39,China,Doctoral degree,Data Scientist,Shipping/Transportation,"1000-9,999 employees",Asia,data
16101,Man,35-39,India,Bachelor’s degree,Software Engineer,Energy/Mining,"1000-9,999 employees",Asia,developer
16103,Man,25-29,Canada,Bachelor’s degree,Program/Project Manager,,,América del Norte,other
16106,Man,30-34,Chile,Some college/university study without earning a bachelor’s degree,Data Analyst,Retail/Sales,0-49 employees,América del Sur,data
16107,Man,30-34,Ukraine,Some college/university study without earning a bachelor’s degree,Software Engineer,,,Europa,developer
16108,Woman,25-29,Algeria,Master’s degree,Research Scientist,Academics/Education,0-49 employees,África,data
16109,Man,55-59,Australia,Bachelor’s degree,Business Analyst,Computers/Technology,50-249 employees,Oceanía,data
16110,Man,30-34,Canada,Bachelor’s degree,Machine Learning Engineer,Computers/Technology,"1000-9,999 employees",América del Norte,data
16111,Man,40-44,Nigeria,Bachelor’s degree,Software Engineer,Academics/Education,0-49 employees,África,developer
16112,Man,25-29,Pakistan,Master’s degree,Data Scientist,Government/Public Service,"1000-9,999 employees",Asia,data
16113,Man,22-24,Pakistan,Master’s degree,Software Engineer,Computers/Technology,0-49 employees,Asia,developer
16114,Man,50-54,Romania,Doctoral degree,Research Scientist,Academics/Education,250-999 employees,Europa,data
16115,Woman,22-24,Taiwan,Master’s degree,Data Scientist,Non-profit/Service,0-49 employees,Asia,data
16116,Man,22-24,Italy,Master’s degree,Machine Learning Engineer,Academics/Education,"1000-9,999 employees",Europa,data
16117,Woman,40-44,Russia,Bachelor’s degree,Data Analyst,Accounting/Finance,0-49 employees,Europa,data
16119,Man,25-29,Taiwan,Master’s degree,Machine Learning Engineer,Computers/Technology,250-999 employees,Asia,data
16120,Man,18-21,India,Some college/university study without earning a bachelor’s degree,Machine Learning Engineer,Computers/Technology,"1000-9,999 employees",Asia,data
16126,Man,50-54,United States of America,Some college/university study without earning a bachelor’s degree,Software Engineer,Medical/Pharmaceutical,50-249 employees,América del Norte,developer
16128,Man,35-39,Poland,Bachelor’s degree,Business Analyst,Accounting/Finance,"10,000 or more employees",Europa,data
16130,Man,45-49,Egypt,Bachelor’s degree,Machine Learning Engineer,Manufacturing/Fabrication,250-999 employees,África,data
16135,Man,30-34,Russia,No formal education past high school,Software Engineer,Manufacturing/Fabrication,"1000-9,999 employees",Europa,developer
16136,Man,30-34,India,Master’s degree,Software Engineer,Computers/Technology,"10,000 or more employees",Asia,developer
16137,Man,45-49,Romania,Master’s degree,Data Analyst,Marketing/CRM,250-999 employees,Europa,data
16138,Man,25-29,Nigeria,Bachelor’s degree,Machine Learning Engineer,Academics/Education,0-49 employees,África,data
16141,Man,50-54,Brazil,Doctoral degree,Research Scientist,Academics/Education,"10,000 or more employees",América del Sur,data
16142,Man,18-21,Iraq,No formal education past high school,Data Analyst,Marketing/CRM,0-49 employees,África,data
16146,Man,18-21,India,Master’s degree,Statistician,Medical/Pharmaceutical,250-999 employees,Asia,other
16152,Man,30-34,South Africa,Master’s degree,Machine Learning Engineer,Accounting/Finance,"10,000 or more employees",África,data
16159,Man,22-24,India,Bachelor’s degree,Data Engineer,Computers/Technology,"1000-9,999 employees",Asia,data
16160,Man,55-59,United States of America,Master’s degree,Machine Learning Engineer,Computers/Technology,0-49 employees,América del Norte,data
16161,Man,25-29,India,Master’s degree,Business Analyst,Marketing/CRM,0-49 employees,Asia,data
16162,Man,25-29,Chile,Bachelor’s degree,Business Analyst,Hospitality/Entertainment/Sports,"1000-9,999 employees",América del Sur,data
16163,Man,30-34,Indonesia,Master’s degree,Software Engineer,Online Service/Internet-based Services,0-49 employees,Asia,developer
16165,Man,30-34,India,Bachelor’s degree,Data Scientist,Insurance/Risk Assessment,"10,000 or more employees",Asia,data
16167,Woman,50-54,United States of America,Master’s degree,Data Scientist,Computers/Technology,250-999 employees,América del Norte,data
16170,Man,50-54,South Korea,Bachelor’s degree,Software Engineer,Online Service/Internet-based Services,0-49 employees,Asia,developer
16171,Man,22-24,China,Master’s degree,Machine Learning Engineer,Academics/Education,0-49 employees,Asia,data
16174,Man,45-49,"Iran, Islamic Republic of...",Master’s degree,Research Scientist,Medical/Pharmaceutical,0-49 employees,África,data
16175,Man,25-29,Nigeria,Master’s degree,Statistician,Academics/Education,0-49 employees,África,other
16176,Woman,25-29,Pakistan,Master’s degree,Data Scientist,Accounting/Finance,0-49 employees,Asia,data
16178,Man,25-29,United States of America,Master’s degree,Data Scientist,Computers/Technology,"1000-9,999 employees",América del Norte,data
16179,Woman,22-24,Hong Kong (S.A.R.),Master’s degree,Data Scientist,Retail/Sales,0-49 employees,Asia,data
16184,Man,50-54,Brazil,Master’s degree,Research Scientist,Government/Public Service,"1000-9,999 employees",América del Sur,data
16185,Man,22-24,Nigeria,Master’s degree,Research Scientist,Medical/Pharmaceutical,0-49 employees,África,data
16187,Man,25-29,Indonesia,Master’s degree,Data Scientist,Computers/Technology,50-249 employees,Asia,data
16189,Man,22-24,India,Doctoral degree,Data Scientist,Other,0-49 employees,Asia,data
16191,Man,25-29,India,Master’s degree,Machine Learning Engineer,,,Asia,data
16192,Woman,30-34,Canada,Master’s degree,Research Scientist,Other,0-49 employees,América del Norte,data
16193,Man,25-29,South Korea,Bachelor’s degree,Program/Project Manager,Computers/Technology,"10,000 or more employees",Asia,other
16194,Man,55-59,Japan,Some college/university study without earning a bachelor’s degree,Data Analyst,Computers/Technology,"10,000 or more employees",Asia,data
16200,Man,35-39,United States of America,Bachelor’s degree,Data Scientist,Other,"10,000 or more employees",América del Norte,data
16202,Man,18-21,Ethiopia,Bachelor’s degree,Machine Learning Engineer,,,África,data
16203,Man,30-34,China,Bachelor’s degree,Business Analyst,Online Service/Internet-based Services,"10,000 or more employees",Asia,data
16204,Man,30-34,Ukraine,Doctoral degree,Research Scientist,Academics/Education,50-249 employees,Europa,data
16205,Man,25-29,Taiwan,Master’s degree,Software Engineer,Computers/Technology,"1000-9,999 employees",Asia,developer
16207,Man,18-21,China,Some college/university study without earning a bachelor’s degree,Data Analyst,Academics/Education,0-49 employees,Asia,data
16208,Man,30-34,Australia,Master’s degree,Data Scientist,Online Service/Internet-based Services,"1000-9,999 employees",Oceanía,data
16209,Man,35-39,United States of America,Master’s degree,Data Scientist,Military/Security/Defense,"1000-9,999 employees",América del Norte,data
16212,Man,30-34,China,Master’s degree,Data Scientist,Computers/Technology,"1000-9,999 employees",Asia,data
16213,Woman,18-21,Egypt,Bachelor’s degree,Data Analyst,,,África,data
16220,Woman,40-44,Kazakhstan,Doctoral degree,Data Analyst,Academics/Education,0-49 employees,Asia,data
16221,Woman,22-24,India,Bachelor’s degree,Data Scientist,Computers/Technology,50-249 employees,Asia,data
16223,Man,25-29,India,Master’s degree,Data Engineer,Computers/Technology,250-999 employees,Asia,data
16226,Man,30-34,Turkey,Professional doctorate,Statistician,Academics/Education,"1000-9,999 employees",Asia,other
16229,Man,45-49,Brazil,Some college/university study without earning a bachelor’s degree,Business Analyst,Other,250-999 employees,América del Sur,data
16230,Man,25-29,India,I prefer not to answer,Software Engineer,Online Service/Internet-based Services,0-49 employees,Asia,developer
16232,Woman,18-21,India,Bachelor’s degree,Data Scientist,,,Asia,data
16233,Man,25-29,"Iran, Islamic Republic of...",Bachelor’s degree,Developer Relations/Advocacy,Computers/Technology,0-49 employees,África,other
16234,Man,40-44,India,Professional doctorate,Research Scientist,Academics/Education,250-999 employees,Asia,data
16236,Man,45-49,Spain,Master’s degree,Business Analyst,Broadcasting/Communications,"1000-9,999 employees",Europa,data
16238,Man,25-29,India,Bachelor’s degree,Business Analyst,Marketing/CRM,"10,000 or more employees",Asia,data
16239,Man,25-29,Mexico,Master’s degree,Data Engineer,Manufacturing/Fabrication,"10,000 or more employees",América del Sur,data
16241,Man,30-34,Argentina,Bachelor’s degree,Data Analyst,Online Business/Internet-based Sales,"1000-9,999 employees",América del Sur,data
16242,Man,45-49,United States of America,Bachelor’s degree,Data Engineer,Online Service/Internet-based Services,"10,000 or more employees",América del Norte,data
16244,Man,30-34,India,Bachelor’s degree,Business Analyst,Marketing/CRM,"10,000 or more employees",Asia,data
16245,Man,30-34,India,Bachelor’s degree,Software Engineer,Accounting/Finance,"10,000 or more employees",Asia,developer
16249,Man,40-44,Japan,Bachelor’s degree,Software Engineer,Energy/Mining,"1000-9,999 employees",Asia,developer
16251,Man,18-21,India,Bachelor’s degree,Data Scientist,Other,0-49 employees,Asia,data
16252,Man,18-21,Indonesia,Master’s degree,Data Scientist,Medical/Pharmaceutical,0-49 employees,Asia,data
16254,Woman,25-29,India,Master’s degree,Data Scientist,Accounting/Finance,"10,000 or more employees",Asia,data
16255,Man,30-34,Russia,Bachelor’s degree,Data Scientist,Marketing/CRM,0-49 employees,Europa,data
16256,Woman,40-44,Netherlands,Master’s degree,Data Scientist,,,Europa,data
16258,Woman,25-29,India,Master’s degree,Data Analyst,Marketing/CRM,"10,000 or more employees",Asia,data
